ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,24348.2345162,23534.111359275874,24343.587559763608,24348.2345162,24348.2345162,-425.9423054805685,-425.9423054805685,-425.9423054805685,-425.9423054805685,-425.9423054805685,-425.9423054805685,0.0,0.0,0.0,23922.292210719428
2023-02-01,24133.334509574936,23576.841499067854,24368.52408200366,24133.334509574936,24133.334509574936,-156.10322710989908,-156.10322710989908,-156.10322710989908,-156.10322710989908,-156.10322710989908,-156.10322710989908,0.0,0.0,0.0,23977.231282465036
2023-03-01,23939.23127703168,23683.194936587515,24505.485959011352,23939.23127703168,23939.23127703168,165.98754779189184,165.98754779189184,165.98754779189184,165.98754779189184,165.98754779189184,165.98754779189184,0.0,0.0,0.0,24105.21882482357
2023-04-01,23724.567228359047,19907.47549193712,20686.981289805073,23724.567228359047,23724.567228359047,-3421.324602731861,-3421.324602731861,-3421.324602731861,-3421.324602731861,-3421.324602731861,-3421.324602731861,0.0,0.0,0.0,20303.242625627186
2023-05-01,23516.99782607838,25446.399916450304,26208.166209392195,23516.99782607838,23516.99782607838,2314.3293224484596,2314.3293224484596,2314.3293224484596,2314.3293224484596,2314.3293224484596,2314.3293224484596,0.0,0.0,0.0,25831.327148526838
2023-06-01,23302.98141766244,23405.18345861825,24213.865220750886,23302.98141766244,23302.98141766244,492.00787935365184,492.00787935365184,492.00787935365184,492.00787935365184,492.00787935365184,492.00787935365184,0.0,0.0,0.0,23794.98929701609
2023-07-01,23096.42529389874,23078.952545793636,23862.652620565445,23096.42529389874,23096.42529389874,385.09276103251705,385.09276103251705,385.09276103251705,385.09276103251705,385.09276103251705,385.09276103251705,0.0,0.0,0.0,23481.518054931257
2023-08-01,22883.776304973282,24623.630727797092,25442.130060339834,22883.776304973282,22883.776304973282,2144.349181128914,2144.349181128914,2144.349181128914,2144.349181128914,2144.349181128914,2144.349181128914,0.0,0.0,0.0,25028.125486102195
2023-09-01,22671.70211674378,19500.52459384154,20328.11408629236,22671.70211674378,22671.70211674378,-2751.9836639574387,-2751.9836639574387,-2751.9836639574387,-2751.9836639574387,-2751.9836639574387,-2751.9836639574387,0.0,0.0,0.0,19919.718452786343
2023-10-01,22486.681434492668,25314.39852039733,26106.394877512168,22486.681434492668,22486.681434492668,3203.741458856259,3203.741458856259,3203.741458856259,3203.741458856259,3203.741458856259,3203.741458856259,0.0,0.0,0.0,25690.42289334893
2023-11-01,22296.39804492927,24384.41364362353,25229.56908707408,22296.39804492927,22296.39804492927,2518.936864578198,2518.936864578198,2518.936864578198,2518.936864578198,2518.936864578198,2518.936864578198,0.0,0.0,0.0,24815.334909507466
2023-12-01,22282.51452679997,20869.1491952388,21688.213954766175,22282.51452679997,22282.51452679997,-985.7967697292596,-985.7967697292596,-985.7967697292596,-985.7967697292596,-985.7967697292596,-985.7967697292596,0.0,0.0,0.0,21296.71775707071
2024-01-01,22268.754642434506,20937.506022389112,21685.748062487524,22268.754642434506,22268.754642434506,-944.3654656787368,-944.3654656787368,-944.3654656787368,-944.3654656787368,-944.3654656787368,-944.3654656787368,0.0,0.0,0.0,21324.38917675577
2024-02-01,22255.079723867,21879.233389094923,22680.786284307746,22255.079723867,22255.079723867,35.25022631460471,35.25022631460471,35.25022631460471,35.25022631460471,35.25022631460471,35.25022631460471,0.0,0.0,0.0,22290.329950181604
2024-03-01,22242.287060727413,21003.00265328404,21789.57992136763,22242.287060727413,22242.287060727413,-817.3449134590414,-817.3449134590414,-817.3449134590414,-817.3449134590414,-817.3449134590414,-817.3449134590414,0.0,0.0,0.0,21424.94214726837
2024-04-01,22228.61214320193,20179.15806666711,20983.00867612679,22228.61214320193,22228.61214320193,-1649.4420557728708,-1649.4420557728708,-1649.4420557728708,-1649.4420557728708,-1649.4420557728708,-1649.4420557728708,0.0,0.0,0.0,20579.170087429062
2024-05-01,22215.378277619802,24347.76401247382,25191.740658082017,22215.378277619802,22215.378277619802,2558.2841888631347,2558.2841888631347,2558.2841888631347,2558.2841888631347,2558.2841888631347,2558.2841888631347,0.0,0.0,0.0,24773.662466482936
2024-06-01,22201.698467678965,20982.102871649327,21808.294421195427,22201.698467678965,22201.698467678965,-820.9196390949569,-820.9196390949569,-820.9196390949569,-820.9196390949569,-820.9196390949569,-820.9196390949569,0.0,0.0,0.0,21380.778828584007
2024-07-01,22188.144935482014,20074.193153811597,20891.797862327312,22188.144935482014,22188.144935482014,-1734.0319751442842,-1734.0319751442842,-1734.0319751442842,-1734.0319751442842,-1734.0319751442842,-1734.0319751442842,0.0,0.0,0.0,20454.11296033773
2024-08-01,22173.931947163754,25012.672385980444,25795.251520701033,22173.931947163754,22173.931947163754,3237.2448028751896,3237.2448028751896,3237.2448028751896,3237.2448028751896,3237.2448028751896,3237.2448028751896,0.0,0.0,0.0,25411.176750038943
2024-09-01,22159.647994352592,23763.340231123137,24605.792913362482,22159.647994352592,22159.647994352592,2046.1633829876216,2046.1633829876216,2046.1633829876216,2046.1633829876216,2046.1633829876216,2046.1633829876216,0.0,0.0,0.0,24205.811377340215
2024-10-01,22145.20562763347,22578.335896735964,23353.337236996864,22145.20562763347,22145.20562763347,841.1901470010765,841.1901470010765,841.1901470010765,841.1901470010765,841.1901470010765,841.1901470010765,0.0,0.0,0.0,22986.395774634548
2024-11-01,22130.28184869038,20964.582689223178,21747.69554525946,22130.28184869038,22130.28184869038,-765.3053023571381,-765.3053023571381,-765.3053023571381,-765.3053023571381,-765.3053023571381,-765.3053023571381,0.0,0.0,0.0,21364.976546333244
2024-12-01,22115.839481971256,22123.531874810316,22951.49594369912,22115.839481971256,22115.839481971256,416.6963733621221,416.6963733621221,416.6963733621221,416.6963733621221,416.6963733621221,416.6963733621221,0.0,0.0,0.0,22532.53585533338
